=== FAST IMPACT LAB ===  (51 purchased item groups, wall 121s)
Single-baseline observational model: it does NOT replay the game per item. It compares local before/after windows around each purchase, then adds cycle-speedup signals for meta effects.
Use it for balance direction: strong / weak / late / gate. Keep exact ablation only for suspicious edge cases.
Horizon: 3 prestige(s), seed 12345, window 120 runs before/after.
Baseline reached: 20:21:27 (8 000 runs, 1 prestiges, stop run cap).
PPO first unlocked: 8:47:24.
Run replay cache: 0 hits / 7 993 misses / 7 993 stored deterministic runs.

Item                            Role            Spent  Buy#     First   Cover   Direct Driver             Income    Score    High    Cycle  Payback  Verdict
Agent.Highwater Analyst         Agent            400K     2   6:56:10     66%      +0% output +0%         +56,1%   -11,6%      2x        —   118,2x  STRONG
Solver.MOCA                     Solver           440K     2   6:57:35     66%      +0% output +0%         +53,9%   -10,5%      2x        —   105,2x  STRONG
Upgrade.ComputeSpeed            Throughput      10,8M     9   6:42:26     67%   +26,2% output +26,2%     +166,6%    -7,4%      1x        —     5,4x  STRONG
Agent.Overclocker               Agent            800K     2   7:19:27     64%      +0% output +0%         +50,8%   +15,1%      1x        —    94,1x  STRONG
Agent.Velocity Trader           Agent              3M     1   8:22:04     59%      +0% output +0%         +44,9%    +2,2%      1x        —    84,5x  STRONG
Agent.Merge Broker              Agent              1M     2   7:26:17     63%      +0% output +0%         +37,7%      +1%      2x        —    71,7x  STRONG
Unlock.SolverTuning             Gate              60K     2   1:35:14     92%      +0% output +0%         +32,4%    -5,4%      1x        —    31,4x  STRONG
Solver.PLAN-5                   Solver           800K     2   7:12:27     65%      +0% output +0%         +32,6%   +19,2%    0,5x        —    54,6x  STRONG
Agent.Score Auditor             Agent            600K     2   7:05:39     65%      +0% output +0%         +30,7%    +7,7%    0,5x        —    58,2x  STRONG
Agent.Move Dividend             Agent            4,4M     2   8:12:19     60%      +0% output +0%         +19,4%   +17,6%      1x        —    21,1x  STRONG
Solver.MOCA+                    Solver           1,8M     2   7:40:17     62%      +0% output +0%         +16,2%    -2,3%    0,5x        —    23,8x  STRONG
Solver.MCTS                     Solver           3,6M     2   7:58:05     61%      +0% output +0%          +9,2%    -4,2%      1x        —    10,2x  STRONG
Modifier.Unstable Stack         Modifier        24,8M     5   8:39:40     57%     +60% output +60%         -7,7%  +261,4%      4x        —        —  STRONG
Modifier.Queue Scrubber         Modifier        55,8M     5   8:39:54     57%     +60% modifier +60%      -21,9%  +255,5%      2x        —        —  STRONG
Modifier.Miner's Pickaxe        Modifier          62M     5   8:40:03     57%     +60% output +60%        -29,9%    +254%      2x        —        —  STRONG
Modifier.Catalyst Stack         Modifier           3M     1   8:40:15     57%     +12% output +12%        -40,3%  +246,6%      2x        —        —  STRONG
Agent.Token Prospector          Agent              4M     2   8:08:41     60%      +0% output +0%          +7,7%   +10,4%      1x        —     9,3x  STRONG
Modifier.Mirror Stack           Modifier           3M     1   8:40:28     57%     +12% output +12%        -46,6%  +242,7%      2x        —        —  STRONG
Modifier.Joker                  Modifier         4,5M     1   8:41:04     57%     +12% output +12%        -70,9%  +188,4%      2x        —        —  STRONG
Modifier.Neural Accelerator     Modifier           6M     1   8:41:16     57%     +12% output +12%        -74,5%  +174,5%      2x        —        —  STRONG
Solver.LOOK                     Solver           160K     2   5:34:56     73%   -42,3% output -42,3%       +3,7%   +41,5%      1x        —     2,7x  STRONG
Upgrade.QueuePreview            Gate             880K     4   1:46:39     91%   +53,8% output +53,8%      +25,6%    -5,3%      1x        —     2,0x  STRONG
Upgrade.TokenDividend           Economy         18,1M     8   2:40:16     87%   +45,5% output +45,5%       +4,2%    -6,7%      1x        —     0,0x  STRONG
TokenPack                       Utility          8,3M   693   1:45:33     91%      +0% tokens +6,9K         +30%    -4,7%      1x        —     0,2x  OK
Upgrade.ComboEngine             Economy           20M    18   0:53:33     96%      +0% output +0%         +13,1%   +35,5%      1x        —     0,0x  STRONG
Upgrade.SalvageProtocol         Economy         28,8M    17   1:21:08     93%      +0% output +0%         +33,9%    +2,2%      1x        —     0,1x  OK
Upgrade.ProfitableEnding        Economy          7,9M     9   3:38:20     82%      +0% output +0%          +2,1%      +4%      1x        —     0,0x  WEAK
Solver.PPO                      Solver           100M     1   8:47:24     57%      +0% output +0%          -100%   -92,6%    0,1x        —        —  WEAK

Columns: Direct is the purchase's immediate formula/snapshot delta. Income/Score/High are local after-vs-before windows. Cycle is completed-prestige-cycle speedup after the first purchase when available. Payback estimates extra chips over the remaining baseline horizon divided by chips spent.
